Group / Category,Feature Title,Feature Description,Release Date,Release Version
Mail and Calendar features,Receive unsaved changes reminder,"When users make changes to an event and try to close the window without saving, a pop-up message will appear, asking if they want to discard unsaved changes.","December 19, 2023",version 5.17.0 (28375)
Mail and Calendar features,Enhancements to the Find a Time feature,"When hosts use the Find a Time feature and click a time slot on the calendar, the event window will automatically move to the newly selected time slot. Previously, the host had to click and drag the event window to the new time slot.","December 19, 2023",version 5.17.0 (28375)
Phone features,Private Call Park & Aim Call Park for Shared Line Group,Administrators have the flexibility to create a user group with permissions for these activities and specify the location where calls should be picked up. Those not included in the designated group are unable to retrieve these calls. Aim Call Park allows a user to transfer a parked call to an available user-selected aim call park number. Admin can configure phones that support the directed call park Busy Lamp Field (BLF) to monitor the busy/idle status of specific directed call park numbers in the admin portal. Users can also use the BLF to speed dial an aim call park number. The feature can be enabled at the account and site levels. This feature must be enabled by Zoom.,"December 19, 2023",version 5.17.0 (28375)
Zoom Clips,Avatar support,"Users can generate a human avatar for utilization in their Zoom Clips, allowing them to personalize diverse aspects, including facial features and colors. This feature is available on Windows and macOS only at this time.","December 19, 2023",version 5.17.0 (28375)
Zoom Clips,Share a portion of your screen,Users can now share a portion of their screen in their clips allowing them to concentrate on particular aspects of their presentation.,"December 19, 2023",version 5.17.0 (28375)
Zoom Clips,Optimize for video clip,Enabling the Optimize for video clip feature allows users to opt for a faster frame rate when recording their clips.,"December 19, 2023",version 5.17.0 (28375)
Zoom Clips,Stereo audio,"Users can now utilize the stereo audio sound to record their clips, enhancing the depth of the sound experience for a more immersive auditory effect.","December 19, 2023",version 5.17.0 (28375)
Contact Center features,Enhancements to inbound notifications,"Agents can see the relevant context associated with the consumer in the inbound notification pop-up window so that agents can be more effective, efficient, and responsive in handling the consumer. Examples include: channel type, call type, consumer information and variables.","December 19, 2023",version 5.17.0 (28375)
Contact Center features,Enhancements to contacts search,"Significant enhancements are made to contact search experience when agents or supervisors make outbound engagements or transfer engagements. The enhanced contact search experience now supports searching by name, phone number or email address, improving the sorting order of search results and the display of keyword-matching results. This makes it easier to locate a target result. Furthermore, the contact search experience has been standardized across all channels for a cohesive experience.","December 19, 2023",version 5.17.0 (28375)
Contact Center features,AI Companion for Zoom Contact Center,"Zoom's AI Companion is being added to Zoom Contact Center, empowering agents to increase productivity. The features that are currently available include: (i) Engagement Preview/Summary: Agents see an auto-generated summary before they accept the engagement. (ii) Talk Speed & Speech Length: Agents see real-time speech metrics to improve the agent/customer interaction. (iii) Sentiment Analysis: Agents can view the current sentiment of the engagement to help them de-escalate the consumer. (iv) Follow-Up Actions: Agents can generate a list of next steps / actions based on the context of the conversation with the customer.","December 19, 2023",version 5.17.0 (28375)
Contact Center features,AI Expert Assist,"Zoom Contact Center's AI Expert Assist (EA) empowers agents to efficiently address customer issues and minimize handle time. It provides real-time support, making it easy for agents to access all the necessary information in one place, ultimately improving customer issue resolution during the first interaction. Expert Assist requires the Elite package, or an add-on license on top of basic/essentials and premium. The core features that are currently available include: (i) Wrap-up Summary: Agents can auto-generate a concise and accurate summary of their interaction with the customer, eliminating the need to manually take notes. (ii) Knowledge Base (KB) Retrieval: Evaluates the customer's intent and automatically shows the relevant knowledge base article to the agent while interacting with consumers. (iii) Information Retrieval: Enables agents to pull information from 3rd party systems at the right time based on the intent of the customer.","December 19, 2023",version 5.17.0 (28375)
Contact Center features,Enhancement to waiting room drop-in,"When supervisors initiate a chat or video call with a consumer in a video waiting room, supervisors can transfer the consumer to a new queue, flow, or agent. This feature needs to be enabled by Zoom.","December 19, 2023",version 5.17.0 (28375)
General features,Swedish language support,"With the newly added language support, Zoom users now have the option to change the language of their Zoom web page and desktop client to Swedish, in addition to the currently supported languages.","November 20, 2023",version 5.16.10 (26186)
General features,Ability to sign-in and switch between multiple accounts,"If allowed by account owners or admins, users can sign in to multiple accounts and switch between them without going through the sign-out and sign-in process. This allows for a more efficient and seamless experience. This feature is available for everyone by default. This feature won’t be immediately available as it is dependent on a backend server update currently scheduled for November 28, 2023.","November 20, 2023",version 5.16.10 (26186)
General features,Additional MSI/PLIST/GPO/MDM options: Disable Meeting Summary with AI Companion - DisableSmartMeetingSummaries,"Disabled by default, this allows admins to disable the in-meeting toolbar option for Meeting Summary. If disabled, users will not be able see or interact with the Meeting Summary feature, but their audio will still be transcribed and included in the summary and available for questions by others.","November 20, 2023",version 5.16.10 (26186)
General features,Additional MSI/PLIST/GPO/MDM options: Disable Meeting Questions with AI Companion - DisableAICQueries,"Disabled by default, this allows admins to disable the in-meeting toolbar option for AI Companion. If disabled, users will not be able see or interact with the AI Companion feature, but their audio will still be transcribed and available for questions by others.","November 20, 2023",version 5.16.10 (26186)
General features,Additional MSI/PLIST/GPO/MDM options: Disable ability to switch quickly between accounts - DisableMultipleAccountsSwitch,"Disabled by default, this policy allows admins to disable the ability to switch between multiple Zoom accounts on the Zoom app. If the policy is enabled, users must manually sign out and then sign in to another account, which has been the default behavior up until this release.","November 20, 2023",version 5.16.10 (26186)
General features,"Additional MSI/PLIST/GPO/MDM options: Disable What’s new window - DisableDiscoverWhatsNew - Windows, macOS","Disabled by default, this policy allows admins to disable the What’s New window, which highlights new features and enhancements for the desktop client version currently installed.","November 20, 2023",version 5.16.10 (26186)
General features,Join Zoom Event session from calendar on local Zoom Room,"Zoom users can view their upcoming calendar events and join Zoom Events sessions on a local Zoom Room, if available, from the calendar tab on the Zoom client. Previously, the Join from Room option was not available for Zoom Events sessions, and only available for non-Zoom Events meetings and webinars.","November 20, 2023",version 5.16.10 (26186)
Meeting/webinar features,Updated streaming consent and indicator,"Since meeting content, such as audio and video, may be live streamed to Youtube and other video platforms for rebroadcast or streamed to a third-party service for transcription, the consent prompt and streaming indicators are being updated to better inform meeting participants of what is being streamed and with whom.","November 20, 2023",version 5.16.10 (26186)
Meeting/webinar features,Smart Recording with AI Companion enhancement: Meeting Coach,"Hosts can get even more information from their cloud recordings by having AI Companion analyze key meeting and conversation factors. Analytics are provided on your talk speed, talk-listen ratio, longest spiel (or monologue), filler word usage, and patience and are accessible when viewing the cloud recording. This is controlled at the Account, Group, and User level, as a sub-setting under the Smart Recording with AI Companion setting.","November 20, 2023",version 5.16.10 (26186)
Meeting/webinar features,Gallery view enhancement for participants joined through Zoom Room companion mode,"Meeting participants that join by Zoom Room after connecting through Companion mode will not be displayed as a separate tile in Gallery view, and instead will only be listed in the Participants panel, nested under the Zoom Room they are connected to.","November 20, 2023",version 5.16.10 (26186)
Meeting features,AI Companion language support extended to 33 languages,"Meeting participants can speak in one of 33 languages and have their portion understood and transcribed by AI Companion for use answering questions about the current meeting or as part of the meeting summary. English is used by default if participants have not yet chosen a speaking language for automated captions, and if a language mismatch is detected, they will be prompted to confirm their current speaking language. Ensuring the correct spoken language is chosen improves the quality of the generated transcript for AI Companion questions.","November 20, 2023",version 5.16.10 (26186)
Meeting features,Auto-start AI Companion questions and meeting summary options when scheduling,"When scheduling a meeting in the Zoom app, hosts can enable auto-start for AI Companion questions and meeting summary. This gives hosts more granular control over which meetings should be scheduled with AI Companion features set to automatically start, while still allowing them the ability to manually start these features for others not scheduled to auto-start the AI Companion features.","November 20, 2023",version 5.16.10 (26186)
Team Chat features,Enhanced user presence in chats and channels,"For an enhanced user experience, Zoom is introducing inline presence visibility for both 1:1 chats and group chats/channels. This feature will enable users to quickly identify another user's presence, especially in group chats and channels where only the conversation title is shown.","November 20, 2023",version 5.16.10 (26186)
Team Chat features,Continuous Meeting Chat enhancements for external invitees,"Continuous Meeting Chat (CMC) is enhanced to offer better support for external users invited to meetings with dedicated group chats. Previously, external users (those not on the same Zoom account) could not be automatically added to the dedicated group chat, requiring hosts to manually adjust the group chat settings to allow the addition of external users and manually include them. Admins can allow their users to add external users to the dedicated group chat created for a scheduled meeting, with the additional optional setting to automatically add external users to the group chat.","November 20, 2023",version 5.16.10 (26186)
Team Chat features,"""Chat with everyone"" links embedded into meeting invites set up with Continuous Meeting Chat","Meeting invites for meetings scheduled with Continuous Meeting Chat (CMC) will include a “Chat with Everyone” link. This link lets invitees start chatting and collaborating before or after the meeting. These ""Chat with Everyone"" links will be available in meeting invites scheduled using Zoom web scheduler, Zoom Calendar client, Google Workplace add-on, Google & Firefox extensions, and Outlook add-in. External invitees can join the chat if admins and the host allow external participants in these group chats.","November 20, 2023",version 5.16.10 (26186)
Team Chat features,New quick create menu in Team Chat,"To enhance the user-friendly experience in Team Chat, the following improvements are set to be implemented: (1) The Team Chat dropdown will be removed, and a new + option will be introduced. All actions previously found under the Team Chat dropdown will be relocated to the newly introduced + menu; (2) The current New Chat icon will be replaced with a + icon; and (3) All ""create new"" actions, such as creating a New Chat, New Channel, Invite New Contact, and more, will be included in the new + dropdown.","November 20, 2023",version 5.16.10 (26186)
Mail and Calendar features,Mark all emails as read,Users can mark all emails as read on the Zoom Mail client.,"November 20, 2023",version 5.16.10 (26186)
Mail and Calendar features,Auto-advance feature for Zoom Mail,Users can use the Auto-advance feature for Zoom Mail. This feature shows the next conversation after deleting or archiving the current conversation.,"November 20, 2023",version 5.16.10 (26186)
Mail and Calendar features,Support for multiple signatures in Zoom Mail,"Users can create and manage multiple signatures in their Zoom Mail settings page. They can select, view, or update signatures. They can also set the default signature for new emails or reply/forward messages.","November 20, 2023",version 5.16.10 (26186)
Phone features,Emergency address validation,"When entering an international address for an individual user in Italy or Spain, the system will automatically validate the address to ensure the accurate provision of emergency services. Note that if the address is not valid, a recommendation is provided to the end user. The following information is mandatory when submitting an address: Street name, House number, Town/City, Postcode, Province.","November 20, 2023",version 5.16.10 (26186)
Contact Center features,UI enhancements to engagement controls,"There are several UI enhancements to the following features to provide a more consistent experience for agents: (1) The Engagement Controls across Voice, Video and Messaging have been moved to a common location in a toolbar below the main engagement area. This will provide agents a very consistent experience to find these controls in the same location for every engagement channel; and (2) Some examples of the engagement controls that have been moved to the common location: (2a) Voice engagement controls such as mute, upgrading to video, add call, transfer, hold, and recording; (2b) Video engagement controls such as mute, start/stop video, chat, hold, transfer, share screen, and show captions; and (2c) Messaging engagement controls such as transfer, release, and upgrade to voice/video.","November 20, 2023",version 5.16.10 (26186)
Contact Center features,Enhancements to contacts search experience,There are major usability enhancements to contact search experience when making an outbound or transferring an engagement. This new search experience allows users to quickly find the desired contact and decide on how to reach the desired contact. These enhancements only apply to voice and messaging channels.,"November 20, 2023",version 5.16.10 (26186)
Contact Center features,Enhancements to leave button experience,"This enhancement improves the leave button experience for consumers ending video sessions using a browser or kiosk. It provides a smoother leave flow so that consumers immediately leave the call when they click or tap Leave or End. If there are still participants in the engagement, they can rejoin.","November 20, 2023",version 5.16.10 (26186)
Contact Center features,Enhancement to Completed Engagements tab,"Engagements will display in the Completed Engagements tab in the client for 12 hours after the engagement ends. Previously, engagements displayed for 12 hours after the engagement began. This change ensures that engagements with durations exceeding 12 hours will appear in the Completed Engagements tab in the client.","November 20, 2023",version 5.16.10 (26186)
Contact Center features,Consumer engagement history,"Supervisors and agents can view consumer engagement in the History tab. They can view related information for each engagement, including start/end times, engagement ID, assigned agent, notes, and queues.","November 20, 2023",version 5.16.10 (26186)
Meeting features,Expanded language support for AI Companion questions,"In addition to English, the following languages are available, in preview, when asking questions with AI Companion: Spanish, Japanese, French, German, Portuguese, Chinese, and Italian. In addition, 25 additional languages will be available, in preview, soon. Meeting participants should ensure their chosen speaking language for captions matches the language they are speaking in the meeting. This will not only apply to their speaking language setting for captioning, but also improve the quality of the generated transcript for AI Companion questions.","October 30, 2023",version 5.16.6 (24712)
General features,Improved What’s New window,"The What’s New window in the Zoom desktop client, highlighting new features and abilities included with the version just installed, is overhauled to provide more information, better formatting, images, and links to relevant blog posts and support documentation. This intends to help users quickly learn more about new features, speeding up education and adoption.","October 23, 2023",version 5.16.5 (24296)
General features,Concurrent sign-ins on multiple devices,"Users can simultaneously sign in on multiple devices of the same type, such as using two smartphones or two laptops, providing them with less restricted flexibility, if allowed by account admins. Even when this feature is turned off, users can still log in from multiple devices, as long as those devices are of different types. By default, users can sign in from multiple devices, as long as those devices are of different types (web, desktop, and mobile).","October 23, 2023",version 5.16.5 (24296)
Meeting/webinar features,Low or no speaker volume notification,"Meeting participants and webinar attendees will see a notification if Zoom detects their speaker volume is low or muted, helping users having difficulties hearing others quickly figure out the cause.","October 23, 2023",version 5.16.5 (24296)
Meeting/webinar features,"Additional supported languages for automated captions and translated captions: Danish, Thai, and Welsh","Danish (Beta) is being added to the available languages for automated captioning and translated captions, available for translation between Danish and any other supported languages. Thai (Beta) and Welsh (Beta) are also being added to translated captions, but both are only available for translation between them and English.","October 23, 2023",version 5.16.5 (24296)
Meeting features,Active AI notifier,"In order to keep participants aware of AI Companion use during any meeting, there will be an AI icon present in the top-left corner of the meeting window and it will list any AI Companion features that are active. Similar to the Active Apps notifier, this is visible to all participants and when clicked, provides additional information about which AI Companion feature(s) are active and what in-meeting data is being used by each feature.","October 23, 2023",version 5.16.5 (24296)
Webinar features,Webinar Resources enhancements,"When Webinar Resources are not currently active, the Resources toolbar option is hidden from attendees’ view. Additionally, the icon for Webinar Resources is being updated in order to distinguish it from Zoom AI Companion.","October 23, 2023",version 5.16.5 (24296)
Webinar features,Support for 100k Zoom Webinar attendees,"Zoom Webinars are able to support up to 100,000 attendees in a single webinar session. Previously, the maximum number of attendees was 50,000, with additional attendees able to be directed to a live-streamed version of the webinar. This feature must be enabled by Zoom.","October 23, 2023",version 5.16.5 (24296)
Team Chat features,Continuous Meeting Chat enhancements for external invitees,"Continuous Meeting Chat (CMC) is enhanced to offer better support for external users invited to meetings with dedicated group chats. Previously, external users (those not on the same Zoom account) could not be automatically added to the dedicated group chat, requiring hosts to manually adjust the group chat settings to allow the addition of external users and manually include them. Admins can allow their users to add external users to the dedicated group chat created for a scheduled meeting, with the additional optional setting to automatically add external users to the group chat.","October 23, 2023",version 5.16.5 (24296)
Team Chat features,Add Activity Center Cards for emoji reactions in chat messages,"An activity center card for emoji reactions in chat messages is being added to enhance communication and engagement within Team Chat. This will serve as a centralized hub, making it effortless for users to track and understand emoji reactions to their messages across various chat groups and channels.","October 23, 2023",version 5.16.5 (24296)
Team Chat features,Enhanced external labeling,The external labeling is enhanced with the addition of an 'external' label in the left panel of Team Chat for direct messages with external users. These enhancements ensure better visibility of external participants in chats and channels.,"October 23, 2023",version 5.16.5 (24296)
Team Chat features,Enable simultaneous login on multiple devices,"Users can simultaneously log in on multiple devices of the same type, such as using two smartphones or two laptops, providing them with unrestricted flexibility. Even when this feature is turned off, users can still log in from multiple devices, as long as those devices are of different types. Admins can choose to enable or disable this feature in the account settings.","October 23, 2023",version 5.16.5 (24296)
Team Chat features,Ability to share a Zoom Whiteboard from Zoom Team Chat,"Zoom Whiteboard users can now easily share and create new whiteboards right from Team Chat. Using the Team Chat compose shortcut, users can conveniently create and share Zoom Whiteboards to any 1:1, group chat, or channel. You will also be able to set sharing permissions when posting whiteboards to Team Chat, allowing for ease of collaboration.","October 23, 2023",version 5.16.5 (24296)
Mail and Calendar features,Select outgoing email account,Users can add a new email account to their own account. They can send emails with the added account without switching accounts by using the Send mail as feature.,"October 23, 2023",version 5.16.5 (24296)
Mail and Calendar features,Option to enable end-to-end encryption (E2EE),"Account admin owners or admins can choose whether end-to-end encryption (E2EE) is enabled or disabled for their Zoom Mail domain. If the account admin disables E2EE, escrow and encryption are turned off for all users in their account. When a user enables a domain for Zoom Mail, they can turn E2EE on or off the first time.","October 23, 2023",version 5.16.5 (24296)
Mail and Calendar features,Enhancements to the Find a Time feature,"When hosts create an event and use the Find a Time feature, they can click and drag the event slot on their calendar to change the date and time, change the event duration (by extending or shortening it), and show the start/end times. Previously, hosts had to manually enter the start/end times.","October 23, 2023",version 5.16.5 (24296)
Mail and Calendar features,Duplicate Zoom Calendar events,Users can create a duplicate event and add different event details or private information without notifying other attendees.,"October 23, 2023",version 5.16.5 (24296)
Mail and Calendar features,Add new feedback form,Zoom desktop client users can provide product feedback using the new feedback form.,"October 23, 2023",version 5.16.5 (24296)
Contact Center features,Enhancements to call notifications from Zoom Phone users,"When a Zoom Phone user (that doesn't have a direct phone number) calls a Zoom Contact Center flow number, the call notification shows the Zoom Phone user's display name and extension, instead of the Zoom Phone main company number. This enhancement ensures that agents and supervisors can easily identify and interact with Zoom Phone users during engagements. This feature requires the Show Outbound Caller ID for Internal Calls Zoom Phone setting to be disabled.","October 23, 2023",version 5.16.5 (24296)
Meeting features,Greater host control of AI Companion during meetings,"Hosts can control who in the meeting can ask AI Companion questions about the current meeting, when active in the current meeting. In addition to setting these defaults through web settings, the host can also control AI Companion access during the live meeting. The in-meeting options are the same as the web settings, restricting access to only themselves (the host), all participants from the point they join (meaning they cannot ask questions about topics from before they joined), or all participants for the entire time the AI Companion is active. If this is locked by admins, hosts cannot change this access during the live meeting.","September 25, 2023",version 5.16.1 (22523)
General features,Additional MSI/PLIST/GPO/MDM options: Disable Zoom Notes for Meetings - DisableInMeetingZoomNotes,"Disabled by default, admins can control the use of Zoom Notes during Zoom Meetings.","September 18, 2023",version 5.16.0 (22201)
General features,Keyboard shortcuts for desktop client tab navigation,"New keyboard shortcuts are added to the desktop client, making it easier for users to quickly switch between Zoom product tabs. Additionally, the Windows desktop client is getting a General section in the Keyboard Shortcuts section, which includes the new options below and a few other shortcuts, relocated from other sections. The following shortcuts are added to the Keyboard Shortcuts section of the client Settings page: Ctrl+Tab: Move to the next tab; Ctrl+Shift+Tab: Move to the previous tab; Ctrl+1 through Ctrl+8 : Move to a specific tab; Ctrl+9: Move to the last tab.","September 18, 2023",version 5.16.0 (22201)
